"comments","facebookId","facebookUrl","feedbackId","likes","media/0/__isMedia","media/0/__typename","media/0/accent_color","media/0/flexible_height_share_image","media/0/id","media/0/large_share_image/height","media/0/large_share_image/uri","media/0/large_share_image/width","media/0/ocrText","media/0/photo_image/height","media/0/photo_image/uri","media/0/photo_image/width","media/0/url","pageName","postId","shares","text","time","timestamp","topLevelUrl","url"
"0","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NjEzNTI1OTA0MTM4NTQ4","3","Photo","Photo","FF5762E2",,"613525684138570",,,,"May be an illustration of ‎2 people, poster and ‎text that says '‎شغل ونلاين ادارة الازمات @shoghlonline shoghlonline.com‎'‎‎","502","https://scontent.fewr1-6.fna.fbcdn.net/v/t39.30808-6/344850990_8257517254265456_3668668047747177406_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_ohc=DyjY--mSra4AX_2ygOo&_nc_ht=scontent.fewr1-6.fna&oh=00_AfCEPYWj803wniBsN421pFk8Y0LYVYJ_0LqF_yRyJWk37g&oe=6466837A","960","https://www.facebook.com/photo/?fbid=613525684138570&set=a.549396763884796","شغل أون لاين","613525904138548","0","إدارة الأزمات هي أن تقوم الشركة بإدارة أمر خرج عن سيطرتها، فقد تجد نفسك في لحظة واحدة أما أحدى الكوارث أو الأزمات، فكيف ستكون مستعد لها، وكيف يمكنك أن تعود لوضع ما قبل الأزمة في أسرع وقت، هذا ما سنتناوله اليوم في مقال إدارة الأزمات.

اقرأ من هنا https://blog.shoghlonline.com/%d8%a7%d8%af%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%a7%d8%b2%d9%85%d8%a7%d8%aa/","2023-05-03T21:12:16.000Z","1683148336","https://www.facebook.com/100064434321918/posts/613525904138548","https://www.facebook.com/shoghlonline/posts/613525904138548"
"1","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NjEyODYwNzgwODcxNzI3","4","Photo","Photo","FFF0F2F1",,"612860680871737",,,,"May be an image of tablet, screen and text","502","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/344795984_181822431460999_241264046569094923_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=HrmQkDAwimoAX_TZbni&_nc_ht=scontent-atl3-2.xx&oh=00_AfBy6n9NycnU8F5DuU4fPeI-DMpQ4yLMOGeUFF34I16RTA&oe=6467885F","960","https://www.facebook.com/photo/?fbid=612860680871737&set=a.549396763884796","شغل أون لاين","612860780871727","0","أنواع المخاطر من أبرز المعوقات التي تهدد فكرة مشروعك أو مصنعك، وسواء كانت فكرتك لإزالة محط ألاهتمام والدراسة، أو بالفعل قد قمت باتخاذ خطوات في مشروعك وشركتك، لكنك بحاجة فعلية لتفهم ماهية أنواع المخاطر الشاملة وكيف يمكنك اتخاذ خطوات إدارة أنواع المخاطر المختلفة، وإدارة المخاطر على المستوى المؤسساتي كل هذا وأكثر سنطلع عليه سوياً في هذا المقال

اقرأ من هنا https://blog.shoghlonline.com/%d8%a3%d9%86%d9%88%d8%a7%d8%b9-%d8%a7%d9%84%d9%85%d8%ae%d8%a7%d8%b7%d8%b1-%d8%a7%d9%84%d8%b4%d8%a7%d9%85%d9%84%d8%a9/","2023-05-02T21:16:46.000Z","1683062206","https://www.facebook.com/100064434321918/posts/612860780871727","https://www.facebook.com/shoghlonline/posts/pfbid0L853iBcWQN5QmuZwYm8e5qMiTJQbhZRcZfcvDYAbhuVTZrfzsQ2uY58g4kTJjURal"
"2","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NjA1MjQ4MDU4Mjk5NjY2","7","Photo","Photo","FF020001",,"605247994966339",,,,"May be an illustration of poster and text","502","https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/342216538_3346766945545195_5404484266229513752_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=0vg3j1GlQOIAX-xKeS8&_nc_ht=scontent-atl3-1.xx&oh=00_AfDUGc4m4jm-DU0zXCU4UlTaQJlkiqPADpl4opuUexGy1Q&oe=64678DF2","960","https://www.facebook.com/photo/?fbid=605247994966339&set=a.549396763884796","شغل أون لاين","605248058299666","0","كل عام وأنتم بخير بمناسبة عيد الفطر المبارك أعاده الله عليكم بالخير واليمن والبركات 🥰","2023-04-20T07:40:16.000Z","1681976416","https://www.facebook.com/100064434321918/posts/605248058299666","https://www.facebook.com/shoghlonline/posts/pfbid0QTh38NAMCvwV6vmxeJuR7Atsar4jGthPM8GkFF2N2ZuU7XUTNLFuxCukcVxYjHbxl"
"12","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NjAwODk5MDA1NDAxMjM4","6","Photo","Photo","FF5762E1",,"600898895401249",,,,"May be an illustration of ‎poster and ‎text that says '‎شغل اونلاين 99% أفكار تسويقية @shoghlonline shoghlonline.com‎'‎‎","502","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-6/340364846_459350589688122_4496428098034985040_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=DyWRzTrFJPMAX9Up8CI&_nc_ht=scontent-lax3-1.xx&oh=00_AfCblZnUeUhhYHzkf5zykF3d_yM4DrXWi_FOIpzBOpeqKQ&oe=6466EB09","960","https://www.facebook.com/photo/?fbid=600898895401249&set=a.549396763884796","شغل أون لاين","600899005401238","1","أفضل أفكار تسويقية لزيادة المبيعات
عندما تبحث عن أفكار تسويقية مبتكرة وحديثة أو حتى تقليدية وفعاله، فأنت هنا تبحث عن فكرة تعبر بها عن المنتج أو الخدمة التي تقدمها بشكل يجعله مقتنع أنه عندما يدفع لك النقود للحصول عليها؛ وأنك بالمقابل ستقدم له ما يحل له مشكلة ما أو يوفر له رفاهية معينة، هنا تكمن نجاح فكرتك التسويقية، لذلك يجي عليك أن تعلم كيف تبني فكرتك التسويقية، وما هي أهمية الخطة التسويقية لنشاطك التجاري؟ كل هذا وأكثر سنتعرف عليه معاً من خلال المقال التالي
رابط المقال في أول تعليق","2023-04-12T21:10:42.000Z","1681333842","https://www.facebook.com/100064434321918/posts/600899005401238","https://www.facebook.com/shoghlonline/posts/pfbid02ANoEqxCsjKijqjMWTDiAdH2X1PdNUYyfEKyXtFuWsyTVsRf4q5Jt7nK9Sa1XMLYWl"
"12","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NTk5MTY4NTA1NTc0Mjg4","4","Photo","Photo","FFF4D3DA",,"599168452240960",,,,"May be a graphic of ‎screen, poster and ‎text that says '‎شغل اونلاين كيف توظف مصمم أفضل شعار محترف؟ @shoghlonline shoghlonline.com‎'‎‎","502","https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/340523370_941625560296625_8451267831980600324_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=5Jv4-xKXdaUAX84osNc&_nc_ht=scontent-ord5-2.xx&oh=00_AfC6Y-GTNVGKSwMOvGpeqvKid6Vjf1IcRjbFysRWqKoMWQ&oe=64660D7A","960","https://www.facebook.com/photo/?fbid=599168452240960&set=a.549396763884796","شغل أون لاين","599168505574288","1","كيف توظف أفضل مصمم شعار محترف؟

لا يوجد رائد أعمال أو صاحب مشروع جديد لا يدرك أهمية البحث عن مصم شعار محترف، ولأن مجال التصميم ملئ بمدعي الخبرة والمهارة، ولكنك في الواقع لن تجد إلا قليل من محترفي التصميم ذوي الجودة المرتفعة، ولتتمكن من اختيار المصمم المناسب ومعرفة هل تحتاج إلى إعادة تصميم شعارك؟ ومميزات توظيف مصمم شعار على شغل اون لاين؟ وكم من الوقت يجب أن يستغرق تصميم الشعار؟ تابع معنا مقالنا اليوم.

اقرأ من هنا https://lnkd.in/de-dV6p6","2023-04-09T22:18:56.000Z","1681078736","https://www.facebook.com/100064434321918/posts/599168505574288","https://www.facebook.com/shoghlonline/posts/pfbid0rAr1wbK7APcGqAGJF8yvfX51KkWRLy6HKmpoV2LBCcyHoWNgCYGHijvDcQka6URUl"
"2","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NTk4NDQ3OTk4OTc5Njcy","7","Photo","Photo","FFFFFFFF",,"598447835646355",,,,"May be an image of 1 person, poster and text","502","https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/340447880_236069895621049_4939710066478203381_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=dhVIyohdw7UAX9d56xx&_nc_ht=scontent-ord5-2.xx&oh=00_AfABIwsCRue-Bc2UlzDF3_yiQIOUgS51Zb44Ivp_nrAKrQ&oe=6467B53C","960","https://www.facebook.com/photo/?fbid=598447835646355&set=a.549396763884796","شغل أون لاين","598447998979672","0","كيف توظف أفضل خبير سيو؟ من الأسئلة التي تشغل بال الكثير من رجال الأعمال أو أصحاب المواقع المهتمين بالتسويق الإلكتروني على الإنترنت بشكل عام، ولكون خبير السيو هو العنصر الأساسي لبناء تلك العملية، فيجب أن تكون هناك أسس واضحة ومعايير ثابتة لاختياره بشكل سليم، لذا أقدم لك لما تحتاج أن توظف خبيرًا في تحسين محركات البحث؟ كيف توظف أفضل خبير سيو عن بعد؟

اقرأ من هنا https://lnkd.in/dk5YVj23","2023-04-08T21:16:51.000Z","1680988611","https://www.facebook.com/100064434321918/posts/598447998979672","https://www.facebook.com/shoghlonline/posts/pfbid02pzv6NJy8HZjzNUjnugfyXtS5V9DJMYZbRKLhWhmed7tCEsM6hDCT3MKQx5WUArodl"
"8","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NTk4MjMzNTI5MDAxMTE5","3","Photo","Photo","FFFFFFFF",,"598233512334454",,,,"May be an image of ‎bread, pie, poster and ‎text that says '‎شغل أونلاين ماذا تفعل إذا بدأ العمل في بسبب تغيير مواعيد عملك في رمضان التراكم ؟ حدد الأولويات تناقش مع أصحاب المشروعات المختلفة بمد مهلة تقديم العمل حاول أن حاولأن تعمل قبل الإفطار وبعده لعدة أيام فكر في تقليل كمية العمل خلال شهر رمضان @shogh @shoghlonline‎'‎‎","526","https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/339786567_246468081096924_7105718030729131849_n.jpg?stp=dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=Fl3B-fL4LuQAX8wJEq6&_nc_ht=scontent-lga3-1.xx&oh=00_AfBgdzAr6HSdOt6-vKibnJ4WfEkVBRMLhSpncNGGru2wGg&oe=6467D3D8","526","https://www.facebook.com/photo/?fbid=598233512334454&set=a.549396763884796","شغل أون لاين","598233529001119","0","ماذا تفعل إذا بدأ العمل في التراكم بسبب تغيير مواعيد عملك في رمضان؟
1- حدد الأولويات
2- تناقش مع أصحاب المشروعات المختلفة بمد مهلة تقديم العمل
3- حاول العمل قبل الفطار وبعد الفطار لعدة أيام
4- فكر في تقليل كمية العمل خلال شهر رمضان
#شغل_أون_لاين #رمضان #وقت #تنظيم_الوقت #شغل #مستقل","2023-04-08T13:16:14.000Z","1680959774","https://www.facebook.com/100064434321918/posts/598233529001119","https://www.facebook.com/shoghlonline/posts/pfbid0ft7zryoSiPwAzowfuDBB96xPHz6BypqhbQysjpn91CXr46Sabst9YxHMsVAMW7AMl"
"4","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NTkzNDYwNzM5NDc4Mzk4","10","Photo","Photo","FFFFFFFF",,"593460626145076",,,,"May be an image of 1 person and text","526","https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-6/338136877_132103596463489_4749930506657056426_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_ohc=dAVYdDSmn9EAX9RTyzi&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBjIOK7ZEUrK8R62CrLKWJbHMLrZuyO2SdiLrce4-58Mw&oe=6465E6B1","526","https://www.facebook.com/photo/?fbid=593460626145076&set=a.549396763884796","شغل أون لاين","593460739478398","0","تشعر بأنك تفقد أسعد اللحظات في رمضان بسبب العمل؟

إذا أنت تختار الوقت الخطأ للعمل، تنظيم وقتك من أساسيات العمل في رمضان وخاصة كونك مستقل.

اعمل في مختلف الأوقات في أيام مختلفة لتتمكن من تحديد التوقيت الأنسب لك، لتشعر بأجواء رمضان من دون التقصير في عملك كـ مستقل!

#شغل_أون_لاين #رمضان #وقت #تنظيم_الوقت #شغل #مستقل","2023-03-31T13:09:02.000Z","1680268142","https://www.facebook.com/100064434321918/posts/593460739478398","https://www.facebook.com/shoghlonline/posts/pfbid033fuAeGLNDMphUVtZw3LHHkayRW3Co5QPoW5c7jtBRrpaA78WBmKYMvxVAVMBuwk7l"
"15","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NTkyNTM0Nzg5NTcwOTkz","12","Photo","Photo","FF7C87FA",,"592534762904329",,,,"May be a cartoon of 2 people, screen, poster and text","502","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/338957293_1458968131584875_9109502470975811074_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=JpC_UImUoR0AX-m5Bwi&_nc_ht=scontent-iad3-2.xx&oh=00_AfACnbYzny7qavbIhO3f54PItmjO4xs411BNQUJn6IOMdQ&oe=6467A594","960","https://www.facebook.com/photo/?fbid=592534762904329&set=a.549396763884796","شغل أون لاين","592534789570993","0","الميزانية 500 دولار

ارغب بعمل تطبيق ios واندرويد ( وهو عباره عن متجر الكتروني ) .. اعرض فيه منتجات مختلفة من شتى المجالات .. ولا اريد فيه طرق للدفع لان في بلدي الطريقة واحدة وهي التحويل المباشر في الحساب .. ولا اريد اضافة اي بوابة للتوصيل والشحن .. لان الشحن عن طريقي انا اوفره … فقط اريد تطبيق سهل وبسيط على الشخص الدخول للتطبيق وعمل اختيار للسلعة المرادة ومن ثم اعتماد الطلب وبعده مباشرة يتم التواصل معي عبر شات في التطبيق .. اريد معرفة التكاليف كاملة ….. بالاضافة الى تكاليف الاستضافة السنوية

أرجو التقدم عبر هذا الرابط https://lnkd.in/dGQbEW3r","2023-03-29T21:39:10.000Z","1680125950","https://www.facebook.com/100064434321918/posts/592534789570993","https://www.facebook.com/shoghlonline/posts/pfbid0FjW5pzxxDKi8SDnvAWT6ZSiJMKLLr92fsaJNT48BDgAFcNqHwymeYmXESzy8AxTMl"
"9","100064434321918","https://www.facebook.com/shoghlonline","ZmVlZGJhY2s6NTkyNTMyMzg5NTcxMjMz","6","Photo","Photo","FFFFFFFF",,"592532369571235",,,,"May be an image of ‎1 person, bread, pie and ‎text that says '‎شغل أونلاين قبل ولا بعد الفطار متردد تشتغل؟ الفطار تشتغل ؟ ino @shoghlonline‎'‎‎","526","https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-6/338180771_3478114162428186_461585076744654252_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=RiijIzgUyCUAX_iQJ1W&_nc_ht=scontent-mia3-1.xx&oh=00_AfAlm6AUVXz48maNl9E3_yLm3VXQxjb8x3L0kMdOuBsmYQ&oe=6466C6E1","526","https://www.facebook.com/photo/?fbid=592532369571235&set=a.549396763884796","شغل أون لاين","592532389571233","0","متردد تشتغل قبل الفطار ولا بعد الفطار؟
ابق متذكر أن شغلك كـ مستقل يتيح لك الفرصة للعمل في أي وقت تُفضل، لذلك اختار أفضل وقت تجد به بأن تركيزك في أعلى مستوياته لتتمكن من إنجاز العمل بسرعة وبأفضل جودة.
#شغل_أون_لاين #رمضان #وقت #تنظيم_الوقت #شغل #مستقل","2023-03-29T21:29:25.000Z","1680125365","https://www.facebook.com/100064434321918/posts/592532389571233","https://www.facebook.com/shoghlonline/posts/pfbid0Zg4DC25bieWo1A4cGVjYwmy7237zX2SE1QfHRXhcHYsZSfuDMkYRKQHqaygzcvByl"
